rank,rating,prospect,position,state,school,status
1435,0.8328,Dru Polidore,CB,TX,Air Force,X
1589,0.8265,Zach Myers,SDE,IL,Air Force,X
1610,0.8254,Dominik Calhoun,ILB,TX,Air Force,Offer
1738,0.8173,Braylon Fowler,WR,FL,Air Force,X
1935,0.8003,Dillon Gilbert,OG,OK,Air Force,X
1950,0.7953,Carter Neuman,TE,OR,Air Force,X
1952,0.7953,TJ Urban,QB,NE,Air Force,X
1997,0.7831,Cameron Breier,OLB,WA,Air Force,X
2002,0.7792,Terrance Kamara,RB,MN,Air Force,
2014,0.7731,Jadon Furubotten,OT,CA,Air Force,X
2021,0.753,Terrell Dillworth,WR,OH,Air Force,X
1490,0.8315,Kameren Epps,OT,GA,Akron,X
1528,0.8297,Michael Maginnis,QB,GA,Akron,Offer
1643,0.8227,Diego Neri,ILB,OH,Akron,Offer
1972,0.7903,Gavin Malott,OT,KY,Akron,X
1987,0.7853,Rishad Hence,CB,MI,Akron,X
5,0.9972,Tommy Brockermeyer,OT,TX,Alabama,X
14,0.9892,Damon Payne,DT,MI,Alabama,X
16,0.989,JC Latham,OT,FL,Alabama,X
26,0.9844,Jacorey Brooks,WR,FL,Alabama,X
43,0.9769,Dallas Turner,WDE,FL,Alabama,X
46,0.976,Terrence Ferguson,OG,GA,Alabama,X
63,0.9689,Xavian Sorey,OLB,FL,Alabama,CB
70,0.9658,Agiye Hall,WR,FL,Alabama,X
110,0.9494,Deontae Lawson,ILB,AL,Alabama,X
112,0.9482,Monkell Goodwine,SDE,MD,Alabama,CB
117,0.9459,Shemar Turner,SDE,TX,Alabama,Warm
124,0.943,Christian Leary,WR,FL,Alabama,X
150,0.9329,Kendrick Blackshire,ILB,TX,Alabama,X
153,0.932,Kaine Williams,S,LA,Alabama,X
186,0.9234,Terrion Arnold,S,FL,Alabama,CB
187,0.923,James Brockermeyer,OC,TX,Alabama,X
191,0.9224,Malcolm Johnson Jr.,WR,VA,Alabama,CB
232,0.9111,Ian Jackson,OLB,AL,Alabama,X
363,0.8885,Kadarius Calloway,ATH,MS,Alabama,X
401,0.8843,Devonta Smith,CB,OH,Alabama,X
490,0.8743,Anquin Barnes,DT,AL,Alabama,X
690,0.8627,Robbie Ouzts,TE,SC,Alabama,CB
774,0.8588,Ross Maseuli,OG,CA,Alabama,Warm
783,0.8581,Jaden Lindsay,OG,NC,Appalachian State,X
878,0.8548,Colston Powers,OT,VA,Appalachian State,X
926,0.853,Da'Shawn Brown,WR,SC,Appalachian State,X
1007,0.8505,DC Tabscott,QB,TN,Appalachian State,X
1036,0.8492,Jordan Favors,S,GA,Appalachian State,X
1099,0.8468,Troy Everett,OG,VA,Appalachian State,X
1166,0.8444,Dalton Stroman,WR,NC,Appalachian State,X
1285,0.8399,Deshawn McKnight,OLB,SC,Appalachian State,X
1359,0.8366,Sergio Morancy,WR,FL,Appalachian State,Offer
1393,0.8356,Jaquan Lowman,S,FL,Appalachian State,X
1410,0.8348,Andre Goodman,ATH,SC,Appalachian State,X
1456,0.8317,Jayden Ramsey,OT,SC,Appalachian State,X
1573,0.827,Cole Essek,OT,FL,Appalachian State,X
1593,0.8265,Caden Sullivan,S,SC,Appalachian State,X
1675,0.8208,David Larkins,TE,OH,Appalachian State,X
1697,0.8204,Banks Pope,TE,SC,Appalachian State,X
1702,0.8204,KaRon White,DT,AL,Appalachian State,X
1823,0.8106,Travis McNichols,CB,FL,Appalachian State,X
1849,0.8092,Charlie Ely,ILB,KY,Appalachian State,X
1886,0.8053,Justin Isler,WDE,GA,Appalachian State,X
1961,0.7944,Ibri Harrell,WDE,VA,Appalachian State,X
420,0.8806,Clay Millen,QB,WA,Arizona,X
482,0.8755,Tyrese Johnson,WR,LA,Arizona,X
896,0.854,Zamajay Duncan,CB,CA,Arizona,Offer
1024,0.8498,Montrell Johnson,RB,LA,Arizona,X
1115,0.8465,Cole Batson,ATH,CA,Arizona,X
1126,0.8465,Ja'Marian Peterson,SDE,LA,Arizona,X
1170,0.8444,Jackson Bailey,OLB,TX,Arizona,X
1171,0.8444,Kolbe Cage,OLB,LA,Arizona,X
1173,0.8444,KC Ossai,ILB,TX,Arizona,X
1198,0.843,Stevie Rocker,RB,AZ,Arizona,X
1237,0.8416,Kevon Garcia,WDE,TX,Arizona,X
1253,0.841,DJ Fryar,ILB,WA,Arizona,X
1266,0.841,Ja'Quez Harvey,SDE,CA,Arizona,X
1271,0.841,Dalton Johnson,S,TX,Arizona,X
1397,0.8356,Matthew Weerts,ILB,IL,Arizona,X
1551,0.8282,JT Hand,OC,CA,Arizona,X
1562,0.8282,Logan Kraut,ATH,CA,Arizona,X
1627,0.8247,Colby Powers,TE,TX,Arizona,X
1791,0.8139,Luke Eckardt,OT,IL,Arizona,X
1808,0.8118,Evan Branch-Haynes,DT,CA,Arizona,X
1817,0.8115,Antonio Robinson,WR,TX,Arizona,Offer
2500,0.8367,Alex Navarro-Silva,SDE,JUCO,Arizona,X
5000,0.82,Cade Parrish,OT,JUCO,Arizona,X
78,0.9647,Isaiah Johnson,CB,CA,Arizona State,X
281,0.9012,Tommi Hill,ATH,FL,Arizona State,X
388,0.8858,Junior Alexander,WR,WA,Arizona State,X
434,0.8789,Jaydon Williams,OLB,TX,Arizona State,X
501,0.8742,Robert Regan,CB,CA,Arizona State,X
573,0.8693,Robert Jackson,SDE,PA,Arizona State,Warm
657,0.8643,Erick Cade,OT,TX,Arizona State,Warm
672,0.8635,Finn Collins,QB,CA,Arizona State,X
708,0.8619,Eric Gentry,WDE,PA,Arizona State,X
721,0.8614,Austin Barry,OT,CA,Arizona State,X
843,0.8559,Marcus Mbow,OT,WI,Arizona State,X
894,0.854,Caleb Banks,SDE,MI,Arizona State,X
900,0.854,Gharin Stansbury,WDE,LA,Arizona State,X
1085,0.8477,Krew Jackson,S,AZ,Arizona State,CB
1154,0.8452,Kamron Beachem,ATH,CA,Arizona State,X
1184,0.8431,Garrett Gillette,TE,WI,Arizona State,X
1185,0.8431,Charles Armstrong,OT,FL,Arizona State,Offer
1191,0.8431,Isaia Glass,OT,AZ,Arizona State,X
1257,0.841,Vance Jefferson,WR,CA,Arizona State,Warm
1333,0.8376,Isaiah Pipkin,OLB,NC,Arizona State,X
1373,0.8364,Martin Lucas,RB,VA,Arizona State,X
1460,0.8315,Brody Crane,OC,CA,Arizona State,Warm
1655,0.8215,Isaiah World,OT,CA,Arizona State,X
5000,0.81,Edward Czaplicki,K,NC,Arizona State,X
179,0.9246,AJ Green,ATH,OK,Arkansas,X
269,0.9039,Ahmonte Watkins,RB,TX,Arkansas,Offer
396,0.8851,Javion Hunt,RB,OK,Arkansas,X
402,0.8843,Raheim Sanders,ATH,FL,Arkansas,X
415,0.881,Malik McClain,WR,FL,Arkansas,Offer
433,0.8789,Terry Wells,OT,AR,Arkansas,X
478,0.8755,Keuan Parker,CB,OK,Arkansas,X
499,0.8742,Cole Carson,OT,TX,Arkansas,X
532,0.8721,Bryce Stephens,WR,OK,Arkansas,X
656,0.8643,Lucas Coley,QB,TX,Arkansas,X
710,0.8619,Solomon Wright,DT,OK,Arkansas,X
719,0.8614,Christopher Paul Jr.,ILB,GA,Arkansas,X
784,0.858,Torey Phillips,DT,TX,Arkansas,Offer
809,0.8573,Marco Avant,OLB,AR,Arkansas,X
840,0.8561,Jermaine Hamilton-Jordan,OLB,MO,Arkansas,X
890,0.854,Jaedon Wilson,WR,TX,Arkansas,X
946,0.8519,Chase Lowery,CB,TX,Arkansas,X
959,0.8519,Devon Manuel,OT,LA,Arkansas,X
1000,0.8506,Landon Rogers,QB,AR,Arkansas,X
1133,0.8464,Erin Outley,TE,AR,Arkansas,CB
1748,0.8165,Charlie Sims,OG,MI,Arkansas,CB
1757,0.8165,Cameron Little,K,OK,Arkansas,X
3000,0.84,Arvell Ferguson,WDE,JUCO,Arkansas,Warm
578,0.8688,Marvin Martin,S,MS,Arkansas State,Offer
823,0.8572,Michael Lunz,ILB,KY,Arkansas State,X
1281,0.8403,Corey Platt Jr.,ATH,AR,Arkansas State,X
1307,0.8389,Marlon Crockett,WR,AR,Arkansas State,X
1315,0.8378,Wyatt Begeal,QB,TX,Arkansas State,X
1432,0.8335,ZaBrien Harden,ILB,GA,Arkansas State,X
1463,0.8315,Justin Parks,CB,AL,Arkansas State,X
1520,0.8302,Makilan Thomas,OG,AR,Arkansas State,X
1556,0.8282,Omari Walker,WR,TX,Arkansas State,X
1614,0.8254,Xavier Evans,RB,MS,Arkansas State,X
1636,0.8234,Eli Blakey,ATH,KY,Arkansas State,X
1650,0.8215,Delvon Fegans,CB,AL,Arkansas State,Warm
1718,0.8186,Aiden Logan,OT,MO,Arkansas State,X
1836,0.8104,Leroy Watson Jr.,CB,MI,Army,X
1954,0.7953,Noah Alexander,RB,OK,Army,X
1968,0.7903,Da'Veon Turner,CB,MI,Army,X
2010,0.7742,Hayden Reed,RB,FL,Army,X
22,0.9873,Ga'Quincy McKinstry,CB,AL,Auburn,CB
55,0.9735,Lee Hunter,DT,AL,Auburn,X
89,0.9602,Armoni Goodwin,RB,AL,Auburn,X
103,0.9523,Jeremiah Williams,WDE,AL,Auburn,CB
146,0.9355,Jaeden Roberts,OG,TX,Auburn,X
155,0.9311,Dematrius Davis,QB,TX,Auburn,X
173,0.9258,Jaquez Smith,WR,GA,Auburn,Offer
178,0.9249,Ahmari Harvey,S,FL,Auburn,CB
278,0.9013,Markevious Brown,CB,FL,Auburn,Warm
318,0.8957,Marquis Robinson,DT,FL,Auburn,X
339,0.8904,Caleb Johnson OT,OT,FL,Auburn,X
352,0.8891,Kamari Lassiter,CB,AL,Auburn,Warm
365,0.8884,Tar'varish Dawson,ATH,FL,Auburn,X
431,0.8791,Deshauwn Alleyne,ILB,FL,Auburn,Warm
491,0.8743,Phillip O'Brien Jr.,S,FL,Auburn,X
510,0.8739,Jarquez Hunter,RB,MS,Auburn,Warm
518,0.8723,Tobechi Okoli,SDE,MO,Auburn,X
545,0.8709,Landen King,TE,TX,Auburn,X
714,0.8614,Garner Langlo,OG,FL,Auburn,X
749,0.8595,George Jackson,OT,GA,Auburn,Offer
780,0.8581,J'Marion Gooch,OT,TN,Auburn,X
2500,0.8578,Alex Lemon,SDE,JUCO,Auburn,Offer
5000,0.87,Brandon Perry,ATH,AL,Auburn,Warm
5000,0.87,Jimmori Robinson,WDE,JUCO,Auburn,Warm
832,0.8566,Kiael Kelly,QB,FL,Ball State,X
848,0.8559,Rico Barfield,RB,MO,Ball State,X
1692,0.8204,Drayton Charlton-Perrin,TE,IL,Ball State,X
1707,0.8201,Rae'quin Lee,RB,MI,Ball State,X
1722,0.818,Thailand Baldwin,CB,VA,Ball State,X
1899,0.8044,Jaret Frantz,WR,OH,Ball State,X
1911,0.8022,Phil Gunn,OG,IN,Ball State,X
1949,0.7953,Drew Hughes,SDE,IL,Ball State,X
1967,0.7903,Brady Hunt,QB,IN,Ball State,X
1977,0.7892,Jalen Johnson,OG,MI,Ball State,X
1981,0.7892,Joey Stemler,ILB,OH,Ball State,X
1989,0.7853,Larry Harris,DT,IN,Ball State,X
4000,0.86,Camden Jordan,WR,IN,Ball State,Offer
1475,0.8315,Jay Allen,ATH,FL,Baseball,X
296,0.8983,Kyron Drones,QB,TX,Baylor,X
372,0.888,Tate Williams,OG,TX,Baylor,X
389,0.8858,Jordan Jenkins,RB,TX,Baylor,X
409,0.883,Byron Murphy II,DT,TX,Baylor,X
451,0.8776,Tevin Williams,CB,OK,Baylor,X
461,0.8767,Hal Presley,WR,TX,Baylor,X
476,0.8755,Connor Heffernan,OG,TX,Baylor,X
511,0.8736,Elijah Bean,WR,TX,Baylor,X
524,0.8721,Cisco Caston,S,TX,Baylor,X
558,0.8702,Jackie Marshall,ILB,LA,Baylor,X
692,0.8627,Justin Walley,CB,MS,Baylor,CB
711,0.8615,Javon Gipson,WR,TX,Baylor,X
777,0.8586,Roderick Daniels,WR,TX,Baylor,X
811,0.8573,Romario Noel,S,TX,Baylor,X
1005,0.8505,Darius Hale,RB,TX,Baylor,Offer
1012,0.8505,Devon Martin,TE,TX,Baylor,Offer
1034,0.8494,Devin Lemear,S,TX,Baylor,X
1208,0.8424,Cooper Lanz,SDE,TX,Baylor,X
1277,0.8406,Sam Carrell,SDE,NM,Baylor,X
1278,0.8405,Tyrone Brown,ILB,TX,Baylor,X
1297,0.839,Dakote Doyle,DT,MO,Baylor,X
1648,0.8217,Ryan Lengyel,OT,TX,Baylor,
602,0.8675,Jai Jones,ILB,TX,Boise State,X
829,0.8567,Eric McAlister,WR,TX,Boise State,Warm
1118,0.8465,Kaden Dudley,ATH,CO,Boise State,X
1204,0.8424,Taylen Green,QB,TX,Boise State,X
1262,0.841,Joseph Amos,OT,TX,Boise State,CB
1362,0.8366,Clay Petry,WR,CA,Boise State,Warm
1391,0.8356,Eli Sanders,ATH,AZ,Boise State,CB
1784,0.8139,Jalen Richmond,WR,AZ,Boise State,X
1812,0.8118,Matthew Lauter,TE,#N/A,Boise State,
175,0.9253,Clinton Burton Jr.,CB,MD,Boston College,X
398,0.8843,Sam Ofurie,ILB,FL,Boston College,Offer
503,0.8742,Jalen Cheek,CB,NJ,Boston College,X
665,0.864,Trevin Wallace,ILB,GA,Boston College,X
674,0.8635,Owen McGowan,ILB,MA,Boston College,X
681,0.8629,Andre Porter,SDE,DC,Boston College,X
686,0.8628,Jalon Williams,CB,TX,Boston College,X
702,0.8625,Xavier Coleman,RB,NJ,Boston College,X
757,0.8593,Shawn Gates,CB,OH,Boston College,X
825,0.8572,Nigel Tate,DT,MD,Boston College,X
981,0.8516,Jamareeh Jones,ATH,VA,Boston College,CB
1038,0.8485,Otto Hess,OT,IL,Boston College,X
1067,0.8477,Lewis Bond,RB,IL,Boston College,X
1074,0.8477,Neto Okpala,WDE,GA,Boston College,X
1234,0.8416,Scottie Alexander,WR,TN,Boston College,Offer
1283,0.8402,Owen Stoudmire,DT,OH,Boston College,X
1311,0.8385,Dante Reynolds,WR,IL,Boston College,X
1441,0.8322,Emmett Morehead,QB,VA,Boston College,X
1489,0.8315,Donovan Ezeiruaku,OLB,NJ,Boston College,X
1611,0.8254,Ilija Krajnovic,OT,FL,Boston College,X
1681,0.8204,Elijah Fuentes,DT,NY,Boston College,CB
2008,0.7781,Connor Lytton,K,VA,Boston College,X
925,0.8531,Tae'Shaun Johnson,WR,OH,Bowling Green,X
1409,0.8348,Jaylen Smith,WR,FL,Bowling Green,X
1645,0.8227,Alex Padgett,OT,OH,Bowling Green,X
1725,0.8174,Jaison Patterson,RB,FL,Bowling Green,X
1780,0.8147,Jacory Jordan,QB,FL,Bowling Green,X
1855,0.8085,Nate Pabst,WDE,OH,Bowling Green,X
1909,0.8027,Dierre Kelly,SDE,IN,Bowling Green,X
992,0.8506,Quillen Howze,ATH,MI,Buffalo,X
1088,0.8477,James Smith,WDE,VA,Buffalo,Offer
1092,0.8473,Artez Hooker,WR,FL,Buffalo,X
1177,0.8438,Sieh Bangura,RB,MD,Buffalo,Offer
1369,0.8366,Jamari Gassett,WR,FL,Buffalo,X
1415,0.8344,Floyd Dozier,DT,FL,Buffalo,X
1418,0.8343,Aljay Henderson,RB,NJ,Buffalo,X
1446,0.8322,Jibrahn Claude,S,GA,Buffalo,X
1453,0.8317,Demarco Cuffey,CB,MD,Buffalo,X
1468,0.8315,Camron McNair,OT,NJ,Buffalo,Offer
1515,0.8302,Chris King,WDE,NY,Buffalo,X
1570,0.8276,Ali Fisher,WR,MI,Buffalo,X
1769,0.8154,Brian Plummer,QB,MD,Buffalo,X
1787,0.8139,Jaillen Howze,OLB,MI,Buffalo,X
1801,0.8123,Anton Ricumstrict,ATH,MI,Buffalo,X
1847,0.8093,Carson Williams,TE,IA,Buffalo,X
1875,0.8054,Nolan Gorczyca,OT,NE,Buffalo,X
669,0.8638,Elia Migao,OG,CA,BYU,CB
729,0.8607,Raider Damuni,ATH,UT,BYU,X
801,0.8577,Enoka Migao,WDE,CA,BYU,CB
1163,0.8444,Bentley Redden,ATH,CA,BYU,X
1386,0.8356,Weston Jones,OT,MI,BYU,X
1399,0.8356,Tevita Mafileo,ATH,UT,BYU,Offer
1620,0.8248,Kyson Hall,WR,UT,BYU,X
1796,0.8128,Ricky Wolfgramm,OLB,UT,BYU,X
1983,0.7882,Jovesa Damuni,CB,UT,BYU,X
183,0.924,J.Michael Sturdivant,WR,TX,California,X
198,0.9206,Jermaine Terry,TE,CA,California,X
268,0.9041,Mavin Anderson,WR,CA,California,X
316,0.8958,Kai Millner,QB,AZ,California,X
332,0.8922,Akili Calhoun,WDE,CA,California,X
345,0.8898,Derek Wilkins,SDE,CA,California,X
411,0.8823,Justin Johnson,RB,IL,California,Warm
421,0.8802,Kaleb Elarms-Orr,WDE,CA,California,CB
535,0.8714,Kaleb Higgins,CB,CA,California,X
604,0.8673,Bastian Swinney,OT,MN,California,X
728,0.8607,Moses Oladejo,OLB,CA,California,X
853,0.8558,William Reed,OT,WA,California,X
902,0.854,Myles Williams,WDE,CA,California,X
953,0.8519,Patrick Hisatake,OLB,OR,California,X
955,0.8519,Hunter Barth,S,AZ,California,X
1093,0.8473,Ryan Lange,OT,CA,California,X
1201,0.8426,Keleki Latu,OLB,CA,California,CB
1387,0.8356,Fatuvalu Iosefa,S,HI,California,X
1534,0.829,Dylan Jemtegaard,OG,WA,California,X
1635,0.8234,Lu-Magia Hearns,WR,CA,California,X
3000,0.87,Jordan Moko,OG,JUCO,California,Warm
1145,0.8455,Mikey Keene,QB,AZ,Central Florida,Offer
1476,0.8315,Kionte Curry,S,FL,Central Florida,Offer
3000,0.85,Kaedin Robinson,WR,JUCO,Central Florida,X
1060,0.8484,D.J. Stepney,S,MI,Central Michigan,X
1540,0.8287,Ron Powlus III,QB,IN,Central Michigan,Offer
1639,0.8227,Eric Reese,CB,MI,Central Michigan,X
1682,0.8204,Elijah Rikard,S,MI,Central Michigan,X
1683,0.8204,Pius Odjugo,DT,MI,Central Michigan,X
1795,0.8132,Trevor Jones,OG,MI,Central Michigan,X
1824,0.8106,Chris Parker,WR,MI,Central Michigan,X
1857,0.8078,Tyson Davis,WR,MI,Central Michigan,X
1979,0.7892,DeAnthony Becton,S,OH,Central Michigan,X
1990,0.7842,Jonah Pace,SDE,IL,Central Michigan,X
2001,0.7792,Clinton Roberson,WR,MI,Central Michigan,X
1015,0.8499,Zyquez Perryman,QB,AL,Charlotte,X
1525,0.8301,Elijah Spencer,WR,SC,Charlotte,X
1530,0.8294,Jared Gibble,TE,NC,Charlotte,X
1608,0.8255,Chavion Smith,RB,NC,Charlotte,X
1807,0.8118,Nathan Linkous,OG,NC,Charlotte,X
1828,0.8104,Tyson Clawson,SDE,NC,Charlotte,X
473,0.8756,Luke Collinsworth,OT,IN,Cincinnati,X
653,0.8646,Mao Glynn,OG,OH,Cincinnati,X
816,0.8572,Iesa Jarmon,CB,OH,Cincinnati,X
885,0.8547,Jack Dingle,OLB,KY,Cincinnati,X
906,0.8539,Armorion Smith,S,MI,Cincinnati,X
969,0.8519,Myles Montgomery,RB,FL,Cincinnati,X
998,0.8506,JoJo Johnson,ATH,IN,Cincinnati,X
1029,0.8498,Caleb Schmitz,OLB,PA,Cincinnati,X
1068,0.8477,Tamarion Crumpley,CB,OH,Cincinnati,Offer
1071,0.8477,Will Pauling,WR,IL,Cincinnati,X
1147,0.8452,Leroy Bowers,S,OH,Cincinnati,X
1155,0.8452,Brady Lichtenberg,QB,OH,Cincinnati,X
1203,0.8426,Charlie Dixon,RB,GA,Cincinnati,Offer
1241,0.8411,Jalen Monrrow,SDE,IN,Cincinnati,X
1287,0.8397,Landon Fickell,OG,OH,Cincinnati,X
1450,0.8322,Malik Rainey,CB,IL,Cincinnati,X
1529,0.8294,Dontay Corleone,DT,OH,Cincinnati,X
1536,0.8289,Jalen Jones,ILB,TX,Cincinnati,Offer
4000,0.83,Justin Pickett,OG,IN ,Cincinnati,Warm
4000,0.82,Fred Farrier,WR,KY,Cincinnati,Offer
5000,0.81,Mason Fletcher,P,AUST,Cincinnati,X
23,0.9867,Will Shipley,RB,NC,Clemson,X
33,0.9822,Jeremiah Trotter Jr.,ILB,PA,Clemson,X
44,0.9764,Barrett Carter,OLB,GA,Clemson,X
67,0.9673,Beaux Collins,WR,CA,Clemson,X
74,0.9654,Jake Briningstool,TE,TN,Clemson,X
80,0.9644,Payton Page,DT,NC,Clemson,X
87,0.9614,Nyland Green,CB,GA,Clemson,CB
91,0.9566,Cade Denhoff,SDE,FL,Clemson,X
97,0.9544,Marcus Tate,OG,FL,Clemson,X
160,0.9293,Troy Stellato,WR,FL,Clemson,X
163,0.9285,Dacari Collins,WR,GA,Clemson,X
208,0.9182,Dietrick Pennington,OG,TN,Clemson,X
216,0.9152,Ryan Linthicum,OC,MD,Clemson,X
236,0.91,Zaire Patterson,WDE,NC,Clemson,X
237,0.9099,Andrew Mukuba,S,TX,Clemson,CB
291,0.8988,Phil Mafah,RB,GA,Clemson,X
541,0.871,Bubba Chandler,QB,GA,Clemson,X
680,0.8629,Tae'Quan Johnson,WR,FL,Coastal Carolina,X
1394,0.8356,Max Balthazar,RB,FL,Coastal Carolina,X
1400,0.8356,Tobias Fletcher,CB,GA,Coastal Carolina,X
1416,0.8343,Darius Chester,RB,FL,Coastal Carolina,Offer
1549,0.8286,Charles Arnold Jr,CB,GA,Coastal Carolina,X
1576,0.8268,Dre Pinckney,S,SC,Coastal Carolina,X
1607,0.8255,Ty Lyles,QB,NC,Coastal Carolina,X
1931,0.8003,Jared Morrow,OT,GA,Coastal Carolina,X
356,0.8891,Chamon Metayer,ATH,FL,Colorado,Offer
485,0.8749,Erik Olsen,TE,CO,Colorado,X
543,0.871,Alonzo Fontenette,WR,CA,Colorado,Offer
636,0.8654,Tyas Martin,DT,AR,Colorado,X
736,0.8605,Zeus Alefosio,ATH,CA,Colorado,Offer
922,0.8532,De'Anthony Lewis,RB,TX,Colorado,Offer
927,0.853,Trevor Woods,S,TX,Colorado,X
1112,0.8466,Micheal Tucker,CB,GA,Colorado,Offer
1130,0.8465,Zephaniah Maea,ILB,NV,Colorado,X
1239,0.8416,Jayden Jones,WDE,TX,Colorado,Offer
1255,0.841,Chase Penry,WR,CO,Colorado,X
1258,0.841,Kaylin Moore,ATH,CA,Colorado,X
1291,0.8397,Jalin Shephard,CB,GA,Colorado,Offer
1300,0.839,Jackson Anderson,OG,TX,Colorado,X
1354,0.8366,Jamarian Henderson,OLB,LA,Colorado,Offer
1414,0.8344,Allan Baugh,SDE,FL,Colorado,X
1459,0.8316,Drew Carter,QB,OR,Colorado,X
1479,0.8315,Al Ashford III,CB,CO,Colorado,CB
1501,0.8314,Tyrin Taylor,S,NC,Colorado,X
1736,0.8173,Ryan Williams,DT,TX,Colorado,X
1768,0.8154,Isaiah Rogers,DT,PA,Colorado,Warm
4000,0.85,Gabe Blair,OC,TX,Colorado,Offer
4000,0.84,Dylan Smith,OT,CA,Colorado,Offer
5000,0.82,Trustin Oliver,S,JUCO,Colorado,X
5000,0.81,Josh Bryan,K,CA,Colorado,X
1138,0.8464,Lathan Adams,CB,TX,Colorado State,X
1301,0.839,Tyler Quinn,DT,TX,Colorado State,X
1411,0.8348,Drake Martinez,TE,TX,Colorado State,X
1442,0.8322,George Miki-Han,OC,CA,Colorado State,X
1517,0.8302,Luke McAllister,QB,CO,Colorado State,X
1535,0.8289,Kyjuan Phillips,OG,FL,Colorado State,X
1563,0.8281,Damir Abdullah,WR,CA,Colorado State,X
1689,0.8204,Justin Michael,OT,CO,Colorado State,X
1728,0.8173,Chance Harris,QB,NM,Colorado State,X
1741,0.8168,Andrew Garwo,CB,PA,Colorado State,X
1773,0.8154,Grady Kelly,DT,FL,Colorado State,X
1778,0.8153,Tanner Arkin,TE,CO,Colorado State,X
1806,0.8118,Jack Howell,ATH,AZ,Colorado State,X
1813,0.8116,Alex Berrouet,RB,MA,Colorado State,X
1838,0.8104,Langston Williams,CB,CO,Colorado State,X
1860,0.8073,Patrick Smith,RB,NJ,Colorado State,X
1887,0.8053,Evan Olaes,QB,NV,Colorado State,X
1963,0.7943,Gerick Robinson,ATH,NV,Colorado State,X
1982,0.7882,Elijah Muhammad,OLB,NY,Colorado State,X
4000,0.81,Nikko Reed,ATH,CA,Colorado State,Warm
1309,0.8386,Max Modeste,RB,TX,Connecticut,X
1376,0.8363,Aaron Turner,RB,DC,Connecticut,X
1469,0.8315,Xavier Copening,QB,CT,Connecticut,Offer
1523,0.8301,Christopher Johnson,TE,FL,Connecticut,X
1668,0.8215,Langston Hardy,SDE,FL,Connecticut,X
1729,0.8173,Yakiri Walker,OG,TX,Connecticut,X
1880,0.8054,Pryce Yates,SDE,TX,Connecticut,X
1925,0.8003,Femi Sakiri,OG,TX,Connecticut,X
1937,0.7993,Justin Cayenne,TE,FL,Connecticut,X
1956,0.7953,Josh Tracey,WR,CT,Connecticut,X
1487,0.8315,Quincy Thompson,RB,TX,Cornell,Offer
413,0.8815,Andrew Jones OT,OT,NC,Duke,X
450,0.8776,Breon Pass,WR,NC,Duke,Offer
752,0.8594,Cole Bishop,OLB,GA,Duke,X
761,0.8593,Riley Leonard,QB,AL,Duke,X
766,0.8593,Placide Djungu-Sungu,S,TX,Duke,X
767,0.8593,Dylan Merrell,CB,GA,Duke,X
810,0.8573,Cameron Bergeron,CB,GA,Duke,X
863,0.8552,Jordan Moore,QB,MD,Duke,X
917,0.8534,Baron Hopson,ILB,GA,Duke,Warm
920,0.8532,Aaron Hall,WDE,NC,Duke,X
957,0.8519,Anthony Freeman,OLB,NC,Duke,X
986,0.8516,Devin Lee,DT,GA,Duke,Warm
1028,0.8498,Trent Broadnax,WR,GA,Duke,X
